iter	Passed	Remaining
0	173	172893
1	173	86674
2	174	57897
3	174	43510
4	175	34915
5	176	29173
6	176	25084
7	177	22006
8	178	19600
9	178	17680
10	179	16108
11	179	14797
12	180	13689
13	180	12736
14	181	11919
15	182	11207
16	183	10600
17	184	10039
18	184	9527
19	185	9067
20	185	8651
21	186	8272
22	186	7928
23	187	7614
24	187	7322
25	188	7052
26	188	6810
27	189	6581
28	190	6381
29	191	6180
30	191	5991
31	192	5814
32	192	5648
33	193	5490
34	193	5341
35	194	5201
36	194	5069
37	195	4943
38	195	4827
39	196	4717
40	197	4612
41	197	4514
42	198	4420
43	199	4329
44	199	4242
45	200	4158
46	201	4080
47	201	4004
48	202	3933
49	203	3862
50	204	3797
51	204	3733
52	205	3673
53	206	3614
54	207	3558
55	207	3506
56	208	3451
57	209	3399
58	210	3349
59	210	3299
60	211	3251
61	211	3205
62	212	3159
63	213	3115
64	213	3074
65	214	3033
66	215	2995
67	215	2953
68	216	2915
69	216	2879
70	217	2843
71	217	2808
72	218	2774
73	219	2742
74	219	2710
75	220	2679
76	221	2650
77	221	2621
78	222	2597
79	223	2571
80	224	2544
81	224	2517
82	225	2491
83	226	2467
84	226	2440
85	227	2416
86	227	2390
87	228	2368
88	229	2347
89	230	2325
90	230	2303
91	231	2282
92	232	2267
93	233	2247
94	233	2228
95	234	2209
96	235	2191
97	236	2172
98	236	2154
99	237	2138
100	238	2120
101	238	2100
102	239	2083
103	239	2067
104	240	2050
105	241	2032
106	241	2016
107	242	1999
108	242	1982
109	243	1966
110	243	1950
111	244	1936
112	244	1922
113	245	1907
114	246	1893
115	246	1877
116	246	1863
117	247	1850
118	247	1835
119	248	1822
120	249	1809
121	249	1796
122	249	1781
123	250	1769
124	250	1756
125	251	1744
126	252	1733
127	252	1721
128	253	1709
129	253	1698
130	254	1686
131	254	1676
132	255	1665
133	255	1654
134	256	1643
135	257	1632
136	257	1622
137	257	1611
138	258	1601
139	259	1592
140	259	1583
141	260	1574
142	261	1565
143	261	1555
144	262	1546
145	262	1537
146	263	1527
147	263	1518
148	264	1509
149	264	1501
150	265	1492
151	265	1483
152	266	1475
153	267	1467
154	267	1460
155	268	1452
156	269	1444
157	270	1439
158	270	1431
159	271	1423
160	271	1416
161	272	1408
162	272	1400
163	273	1393
164	273	1385
165	274	1379
166	275	1372
167	275	1365
168	276	1358
169	276	1351
170	277	1344
171	277	1337
172	278	1330
173	278	1324
174	279	1317
175	279	1310
176	280	1304
177	281	1298
178	281	1292
179	282	1286
180	282	1279
181	283	1272
182	283	1266
183	284	1260
184	284	1254
185	285	1248
186	285	1242
187	286	1236
188	286	1230
189	287	1225
190	287	1219
191	288	1214
192	289	1209
193	289	1204
194	290	1198
195	291	1194
196	291	1189
197	292	1184
198	292	1179
199	293	1173
200	293	1168
201	294	1163
202	294	1158
203	295	1152
204	296	1148
205	296	1143
206	297	1138
207	297	1134
208	298	1129
209	298	1124
210	299	1120
211	300	1115
212	300	1110
213	301	1106
214	301	1101
215	302	1096
216	302	1092
217	303	1087
218	303	1083
219	304	1079
220	305	1075
221	305	1070
222	305	1066
223	306	1063
224	307	1059
225	308	1054
226	308	1050
227	309	1046
228	309	1042
229	310	1037
230	310	1034
231	311	1030
232	311	1026
233	312	1022
234	312	1018
235	313	1015
236	314	1011
237	314	1007
238	315	1003
239	315	999
240	316	995
241	316	992
242	317	988
243	317	984
244	318	980
245	318	977
246	319	974
247	319	970
248	320	966
249	320	962
250	321	959
251	322	955
252	322	952
253	323	948
254	323	945
255	324	941
256	324	938
257	325	935
258	325	931
259	326	928
260	326	925
261	327	922
262	327	918
263	328	915
264	329	913
265	329	910
266	330	907
267	330	903
268	331	900
269	331	897
270	332	894
271	332	891
272	333	888
273	334	885
274	334	882
275	335	879
276	335	876
277	336	873
278	336	870
279	337	867
280	337	864
281	338	861
282	338	858
283	339	855
284	340	853
285	340	850
286	341	847
287	341	844
288	342	842
289	342	839
290	343	836
291	343	833
292	344	831
293	345	828
294	345	825
295	346	823
296	346	820
297	347	817
298	347	815
299	348	812
300	348	809
301	349	807
302	350	805
303	350	802
304	351	799
305	351	797
306	352	795
307	352	792
308	353	789
309	353	787
310	354	784
311	354	782
312	355	779
313	355	777
314	356	775
315	357	773
316	358	771
317	359	770
318	359	768
319	360	765
320	360	763
321	361	761
322	362	758
323	362	756
324	363	754
325	363	752
326	364	750
327	365	748
328	366	746
329	366	744
330	367	742
331	367	740
332	368	737
333	368	735
334	369	733
335	370	731
336	370	729
337	371	727
338	372	726
339	373	724
340	373	722
341	374	720
342	375	718
343	376	717
344	377	716
345	378	714
346	378	712
347	379	710
348	379	708
349	380	706
350	380	704
351	381	702
352	382	700
353	382	698
